"State, Index, Value"
Nebraska,19,26451
Nevada,19,43716
New Hampshire,19,23284
New Jersey,19,131611
New Mexico,19,33170
New York,19,286312
North Carolina,19,149213
North Dakota,19,10218
Ohio,19,183075
Oklahoma,19,56989
Oregon,19,65974
Pennsylvania,19,206915
Rhode Island,19,16648
South Carolina,19,78105
South Dakota,19,12471
Tennessee,19,103550
Texas,19,324730
Utah,19,29791
Vermont,19,11762
Virginia,19,122727
Washington,19,106784
West Virginia,19,35444
Wisconsin,19,88164
Wyoming,19,9540
Puerto Rico,19,59972
NAME,20,P0120020
Alabama,20,42086
Alaska,20,5367
Arizona,20,56200
Arkansas,20,26937
California,20,268273
Colorado,20,38901
Connecticut,20,30759
Delaware,20,8232
District of Columbia,20,4213
Florida,20,186654
Georgia,20,72588
Hawaii,20,13322
Idaho,20,13265
Illinois,20,96703
Indiana,20,52173
Iowa,20,25235
Kansas,20,22418
Kentucky,20,37407
Louisiana,20,36172
Maine,20,13681
Maryland,20,45472
Massachusetts,20,53860
Michigan,20,85187
Minnesota,20,41889
Mississippi,20,24220
Missouri,20,51366
Montana,20,10044
Nebraska,20,14559
Nevada,20,24214
New Hampshire,20,12180
New Jersey,20,69559
New Mexico,20,18033
New York,20,151551
North Carolina,20,81146
North Dakota,20,5669
Ohio,20,93704
Oklahoma,20,32589
Oregon,20,35709
Pennsylvania,20,109313
Rhode Island,20,8745
South Carolina,20,43887
South Dakota,20,6594
Tennessee,20,57342
Texas,20,177155
Utah,20,16480
Vermont,20,6305
Virginia,20,65559
Washington,20,57792
West Virginia,20,18857
Wisconsin,20,46962
Wyoming,20,5058
Puerto Rico,20,34544
NAME,21,P0120021
Alabama,21,55807
Alaska,21,6347
Arizona,21,77399
Arkansas,21,35992
California,21,341951
Colorado,21,48833
Connecticut,21,39499
Delaware,21,11214
District of Columbia,21,5392
Florida,21,261539
Georgia,21,93762
Hawaii,21,15527
Idaho,21,17883
Illinois,21,129191
Indiana,21,69917
Iowa,21,34407
Kansas,21,28849
Kentucky,21,50282
Louisiana,21,46958
Maine,21,17751
Maryland,21,59401
Massachusetts,21,69267
Michigan,21,114074
Minnesota,21,55644
Mississippi,21,31980
Missouri,21,69873
Montana,21,13411
Nebraska,21,18497
Nevada,21,32424
New Hampshire,21,15746
New Jersey,21,92045
New Mexico,21,23929
New York,21,200704
North Carolina,21,106979
North Dakota,21,7233
Ohio,21,130093
Oklahoma,21,42690
Oregon,21,46221
Pennsylvania,21,149340
Rhode Island,21,11254
South Carolina,21,57840
South Dakota,21,8970
Tennessee,21,75797
Texas,21,226114
Utah,21,21479
Vermont,21,8081
Virginia,21,85719
Washington,21,73272
West Virginia,21,25681
Wisconsin,21,62206
Wyoming,21,6497
Puerto Rico,21,45634
NAME,22,P0120022
Alabama,22,72143
Alaska,22,6662
Arizona,22,102628
Arkansas,22,47209
California,22,443402
Colorado,22,59773
Connecticut,22,47331
Delaware,22,14139
District of Columbia,22,6671
Florida,22,357908
Georgia,22,112713
Hawaii,22,19140
Idaho,22,22648
Illinois,22,163405
Indiana,22,88090
Iowa,22,46140
Kansas,22,38113
Kentucky,22,63888
Louisiana,22,60121
Maine,22,22234
Maryland,22,72158
Massachusetts,22,85791
Michigan,22,140775
Minnesota,22,70840
Mississippi,22,42228
Missouri,22,88753
Montana,22,16806
Nebraska,22,25108
Nevada,22,40470
New Hampshire,22,18698
New Jersey,22,115666
New Mexico,22,30879
New York,22,258616
North Carolina,22,133021
North Dakota,22,9635
Ohio,22,167142
Oklahoma,22,55836
Oregon,22,57120
Pennsylvania,22,192187
Rhode Island,22,13805
South Carolina,22,70340
South Dakota,22,12064
Tennessee,22,94112
Texas,22,283865
Utah,22,27677
Vermont,22,9534
Virginia,22,105177
Washington,22,88760
West Virginia,22,33358
Wisconsin,22,81067
Wyoming,22,8126
Puerto Rico,22,61731
NAME,23,P0120023
Alabama,23,51927
Alaska,23,4150
Arizona,23,76221
Arkansas,23,33929
California,23,337174
Colorado,23,43456
Connecticut,23,37908
Delaware,23,10656
District of Columbia,23,4782
Florida,23,280087
Georgia,23,77156
Hawaii,23,14940
Idaho,23,15960
Illinois,23,122706
Indiana,23,64775
Iowa,23,36112
Kansas,23,30202
Kentucky,23,45087
Louisiana,23,43236
Maine,23,17338
Maryland,23,53066
Massachusetts,23,68931
Michigan,23,104920
Minnesota,23,54464
Mississippi,23,28913
Missouri,23,67506
Montana,23,11987
Nebraska,23,20206
Nevada,23,27623
New Hampshire,23,14311
New Jersey,23,90298
New Mexico,23,22883
New York,23,200049
North Carolina,23,94981
North Dakota,23,8125
Ohio,23,126706
Oklahoma,23,41390
Oregon,23,41253
Pennsylvania,23,153890
Rhode Island,23,11219
South Carolina,23,49294
South Dakota,23,9475
Tennessee,23,65637
Texas,23,208530
Utah,23,21045
Vermont,23,7108
Virginia,23,75311
Washington,23,64325
West Virginia,23,23255
Wisconsin,23,62181
Wyoming,23,5704
Puerto Rico,23,43625
NAME,24,P0120024
Alabama,24,33684
Alaska,24,2620
Arizona,24,51509
Arkansas,24,22391
California,24,245402
Colorado,24,29773
Connecticut,24,30369
Delaware,24,7177
District of Columbia,24,3516
Florida,24,205925
Georgia,24,48500
Hawaii,24,11904
Idaho,24,11073
Illinois,24,92019
Indiana,24,47290
Iowa,24,28032
Kansas,24,23029
Kentucky,24,30112
Louisiana,24,29905
Maine,24,12125
Maryland,24,38419
Massachusetts,24,53551
Michigan,24,80635
Minnesota,24,40865
Mississippi,24,19366
Missouri,24,47180
Montana,24,8781
Nebraska,24,15243
Nevada,24,17239
New Hampshire,24,10058
New Jersey,24,69529
New Mexico,24,15504
New York,24,150993
North Carolina,24,63573
North Dakota,24,6314
Ohio,24,95450
Oklahoma,24,28049
Oregon,24,30860
Pennsylvania,24,120931
Rhode Island,24,9262
South Carolina,24,30710
South Dakota,24,7453
Tennessee,24,43111
Texas,24,139029
Utah,24,15054
Vermont,24,5183
Virginia,24,51110
Washington,24,45743
West Virginia,24,17099
Wisconsin,24,47549
Wyoming,24,4176
Puerto Rico,24,27582
NAME,25,P0120025
Alabama,25,22859
Alaska,25,1660
Arizona,25,37738
Arkansas,25,16534
California,25,210815
Colorado,25,23118
Connecticut,25,26948
Delaware,25,5114
District of Columbia,25,3117
Florida,25,158313
Georgia,25,33311
Hawaii,25,11352
Idaho,25,9008
Illinois,25,72892
Indiana,25,35647
Iowa,25,23351
Kansas,25,19321
Kentucky,25,21020
Louisiana,25,20897
Maine,25,9339
Maryland,25,31010
Massachusetts,25,45025
Michigan,25,61593
Minnesota,25,34307
Mississippi,25,13046
Missouri,25,35856
Montana,25,7016
Nebraska,25,12790
Nevada,25,11017
New Hampshire,25,8051
New Jersey,25,56337
New Mexico,25,11376
New York,25,122622
North Carolina,25,44256
North Dakota,25,5451
Ohio,25,72346
Oklahoma,25,20426
Oregon,25,26671
Pennsylvania,25,95396
Rhode Island,25,8157
South Carolina,25,21411
South Dakota,25,6297
Tennessee,25,30036
Texas,25,100971
Utah,25,11310
Vermont,25,4103
Virginia,25,38446
Washington,25,40083
West Virginia,25,11416
Wisconsin,25,37450
Wyoming,25,3053
Puerto Rico,25,23305
